,combination,num_rows
91,"('electricity', 'chilledwater', 'water', 'irrigation')",2
92,"('electricity', 'hotwater', 'solar', 'numberoffloors')",2
93,"('electricity', 'chilledwater', 'water', 'solar')",2
94,"('chilledwater', 'water', 'solar', 'numberoffloors')",2
95,"('hotwater', 'chilledwater', 'gas', 'numberoffloors')",2
96,"('hotwater', 'water', 'solar', 'numberoffloors')",2
97,"('electricity', 'water', 'solar', 'gas')",2
98,"('electricity', 'solar', 'gas', 'numberoffloors')",2
99,"('hotwater', 'chilledwater', 'water', 'solar')",2
100,"('hotwater', 'chilledwater', 'water', 'gas')",2
101,"('hotwater', 'chilledwater', 'solar', 'numberoffloors')",2
102,"('hotwater', 'water', 'gas', 'numberoffloors')",2
103,"('electricity', 'hotwater', 'chilledwater', 'gas', 'numberoffloors')",2
104,"('electricity', 'hotwater', 'chilledwater', 'water', 'gas')",2
105,"('electricity', 'hotwater', 'chilledwater', 'solar', 'numberoffloors')",2
106,"('electricity', 'hotwater', 'chilledwater', 'water', 'solar')",2
107,"('electricity', 'hotwater', 'gas', 'numberoffloors')",2
108,"('electricity', 'hotwater', 'water', 'gas')",2
109,"('electricity', 'hotwater', 'water', 'solar')",2
110,"('electricity', 'water', 'solar', 'gas', 'numberoffloors')",2
111,"('hotwater', 'chilledwater', 'water', 'gas', 'numberoffloors')",2
112,"('hotwater', 'chilledwater', 'water', 'solar', 'numberoffloors')",2
113,"('water', 'solar', 'gas', 'numberoffloors')",2
114,"('electricity', 'hotwater', 'chilledwater', 'water', 'solar', 'numberoffloors')",2
115,"('water', 'irrigation', 'gas')",1
116,"('electricity', 'irrigation', 'gas')",1
117,"('hotwater', 'solar', 'gas')",1
118,"('chilledwater', 'solar', 'gas')",1
119,"('chilledwater', 'water', 'solar', 'gas')",1
120,"('hotwater', 'water', 'solar', 'gas')",1
121,"('hotwater', 'solar', 'gas', 'numberoffloors')",1
122,"('electricity', 'chilledwater', 'solar', 'gas')",1
123,"('electricity', 'hotwater', 'solar', 'gas')",1
124,"('electricity', 'water', 'irrigation', 'gas')",1
125,"('hotwater', 'chilledwater', 'solar', 'gas')",1
126,"('electricity', 'hotwater', 'solar', 'gas', 'numberoffloors')",1
127,"('electricity', 'chilledwater', 'water', 'solar', 'gas')",1
128,"('electricity', 'hotwater', 'water', 'solar', 'gas')",1
129,"('electricity', 'hotwater', 'chilledwater', 'solar', 'gas')",1
130,"('chilledwater', 'solar', 'gas', 'numberoffloors')",1
131,"('hotwater', 'chilledwater', 'solar', 'gas', 'numberoffloors')",1
132,"('hotwater', 'chilledwater', 'water', 'solar', 'gas')",1
133,"('electricity', 'chilledwater', 'solar', 'gas', 'numberoffloors')",1
134,"('chilledwater', 'water', 'solar', 'gas', 'numberoffloors')",1
135,"('hotwater', 'water', 'solar', 'gas', 'numberoffloors')",1
136,"('electricity', 'hotwater', 'chilledwater', 'water', 'solar', 'gas')",1
137,"('electricity', 'hotwater', 'chilledwater', 'solar', 'gas', 'numberoffloors')",1
138,"('electricity', 'hotwater', 'water', 'solar', 'gas', 'numberoffloors')",1
139,"('electricity', 'chilledwater', 'water', 'solar', 'gas', 'numberoffloors')",1
140,"('hotwater', 'chilledwater', 'water', 'solar', 'gas', 'numberoffloors')",1
141,"('electricity', 'hotwater', 'chilledwater', 'water', 'solar', 'gas', 'numberoffloors')",1
